Recording	Participant	Timeline	TOI	Interval	Media	Condition	AOI	Sentence	Duration_of_interval	Start_of_interval	Last_key_press	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Selective_regression-path_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording1	testk	Version1	My Time of Interest 001	1	Instructions_V1 (1)		の		87598	84868	Escape	0				0			一方、日本に暑い夏をもたらす気圧配置は年によっては崩れ、太平洋高気圧の勢力が弱いと、オホーツク海高気圧が北から張り出して長くとどまり、北海道や東北地方にやませと呼ばれる冷たい北東の風が吹き込む。,が			0				0				0				0			0				0			0			0			0					11	1	16	の	Character								
Recording1	testk	Version1	My Time of Interest 001	1	Instructions_V1 (1)		こ		87598	84868	Escape	0				0			一方、日本に暑い夏をもたらす気圧配置は年によっては崩れ、太平洋高気圧の勢力が弱いと、オホーツク海高気圧が北から張り出して長くとどまり、北海道や東北地方にやませと呼ばれる冷たい北東の風が吹き込む。,が			0				0				0				0			0				0			0			0			0					12	1	16	こ	Character								
Recording1	testk	Version1	My Time of Interest 001	1	Instructions_V1 (1)		と		87598	84868	Escape	0				0			一方、日本に暑い夏をもたらす気圧配置は年によっては崩れ、太平洋高気圧の勢力が弱いと、オホーツク海高気圧が北から張り出して長くとどまり、北海道や東北地方にやませと呼ばれる冷たい北東の風が吹き込む。,が			0				0				0				0			0				0			0			0			0					13	1	16	と	Character								
Recording1	testk	Version1	My Time of Interest 001	1	Instructions_V1 (1)		。		87598	84868	Escape	0				0			一方、日本に暑い夏をもたらす気圧配置は年によっては崩れ、太平洋高気圧の勢力が弱いと、オホーツク海高気圧が北から張り出して長くとどまり、北海道や東北地方にやませと呼ばれる冷たい北東の風が吹き込む。,が			0				0				0				0			0				0			0			0			0					14	1	16	。	Character								
Recording1	testk	Version1	Instructions_V1 (1)	1	Instructions_V1 (1)		梅雨明けと共に日本の真夏は始まる。	Tag1	87598	84868	Escape	801	160	93	207	5	644	174	一方、日本に暑い夏をもたらす気圧配置は年によっては崩れ、太平洋高気圧の勢力が弱いと、オホーツク海高気圧が北から張り出して長くとどまり、北海道や東北地方にやませと呼ばれる冷たい北東の風が吹き込む。,が		2.33893	801	160	93	207	5	644	174	2.33893	1058	1058	1058	1058	1	644	1058	1082	1082	1082	1082	1	621	1082	0			0			3	621	1703	70.75	306.03			1	梅雨明けと共に日本の真夏は始まる。	Sentence	1	0	0	0		801	0	0
Recording1	testk	Version1	Instructions_V1 (1)	1	Instructions_V1 (1)		大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。	Tag2	87598	84868	Escape	1845	231	132	420	8	489	132	一方、日本に暑い夏をもたらす気圧配置は年によっては崩れ、太平洋高気圧の勢力が弱いと、オホーツク海高気圧が北から張り出して長くとどまり、北海道や東北地方にやませと呼ばれる冷たい北東の風が吹き込む。,が		2.29371	1845	231	132	420	8	489	132	2.29371	1950	650	132	1398	3	489	132	2067	689	175	1450	3	446	175	0			0			5	446	621	195.76	70.75			2	大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。	Sentence	1	0	0	0		1845	0	0
Recording1	testk	Version1	Instructions_V1 (1)	1	Instructions_V1 (1)		梅雨明けの直後は、梅雨明け十日といい、太平洋高気圧の勢力が強く気圧配置が安定しているので穏やかな晴天が続くことが多く、夕立も発生しにくいので、レジャーには最適だという意見もある。	Tag3	87598	84868	Escape	1452	182	125	214	8	3439	211	一方、日本に暑い夏をもたらす気圧配置は年によっては崩れ、太平洋高気圧の勢力が弱いと、オホーツク海高気圧が北から張り出して長くとどまり、北海道や東北地方にやませと呼ばれる冷たい北東の風が吹き込む。,が		2.52187	1452	182	125	214	8	3439	211	2.52187	1567	392	198	633	4	3439	371	1724	431	224	669	4	3414	396	0			0			4	4252	3810	429.01	80.72			3	梅雨明けの直後は、梅雨明け十日といい、太平洋高気圧の勢力が強く気圧配置が安定しているので穏やかな晴天が続くことが多く、夕立も発生しにくいので、レジャーには最適だという意見もある。	Sentence	2	0	0	0		1452	0	0
Recording1	testk	Version1	Instructions_V1 (1)	1	Instructions_V1 (1)		これは、梅雨前線を押し上げた小笠原高気圧の強い状態が、小笠原高気圧の活動の強弱の周期、つまり10日くらい続くためである。	Tag4	87598	84868	Escape	7421	212	66	489	35	7029	181	一方、日本に暑い夏をもたらす気圧配置は年によっては崩れ、太平洋高気圧の勢力が弱いと、オホーツク海高気圧が北から張り出して長くとどまり、北海道や東北地方にやませと呼ばれる冷たい北東の風が吹き込む。,が		2.5199	7421	212	66	489	35	7029	181	2.5199	8186	2046	1147	2835	4	7029	2835	8308	2077	1169	2886	4	6978	2886	0			0			31	11088	9863	99.84	36.37			4	これは、梅雨前線を押し上げた小笠原高気圧の強い状態が、小笠原高気圧の活動の強弱の周期、つまり10日くらい続くためである。	Sentence	1	0	0	0		7421	0	0
Recording1	testk	Version1	Instructions_V1 (1)	1	Instructions_V1 (1)		日本列島に張り出してくる小笠原高気圧から暖かく湿った空気が日本列島に入り、気圧の差が小さく、等圧線の間隔が広いために風も弱いので非常に蒸し暑くなる。	Tag5	87598	84868	Escape	7047	227	71	425	31	9875	280	一方、日本に暑い夏をもたらす気圧配置は年によっては崩れ、太平洋高気圧の勢力が弱いと、オホーツク海高気圧が北から張り出して長くとどまり、北海道や東北地方にやませと呼ばれる冷たい北東の風が吹き込む。,が		2.60129	7047	227	71	425	31	9875	280	2.60129	8022	1604	178	2456	5	9875	1213	8178	1636	195	2530	5	9863	1225	0			0			24	9863	11088	36.37	99.84			5	日本列島に張り出してくる小笠原高気圧から暖かく湿った空気が日本列島に入り、気圧の差が小さく、等圧線の間隔が広いために風も弱いので非常に蒸し暑くなる。	Sentence	1	0	0	0		7047	0	0
Recording1	testk	Version1	Instructions_V1 (1)	1	Instructions_V1 (1)		風が弱い上に湿度が高いため、体感温度は熱帯地方を上回るほどである。	Tag6	87598	84868	Escape	8136	232	97	552	35	21559	248	一方、日本に暑い夏をもたらす気圧配置は年によっては崩れ、太平洋高気圧の勢力が弱いと、オホーツク海高気圧が北から張り出して長くとどまり、北海道や東北地方にやませと呼ばれる冷たい北東の風が吹き込む。,が		2.55253	8136	232	97	552	35	21559	248	2.55253	9237	1540	432	4680	6	21559	2032	9357	1559	456	4699	6	21533	2057	0			0			26	21533	23591	149.52	107.87			6	風が弱い上に湿度が高いため、体感温度は熱帯地方を上回るほどである。	Sentence	1	0	0	0		8136	0	0
Recording1	testk	Version1	Instructions_V1 (1)	1	Instructions_V1 (1)		さらに、高い湿度が局地的に積乱雲を発生させ、雷を伴い激しく雨が降る夕立が起こりやすい。	Tag7	87598	84868	Escape	5173	272	116	612	19	26105	152	一方、日本に暑い夏をもたらす気圧配置は年によっては崩れ、太平洋高気圧の勢力が弱いと、オホーツク海高気圧が北から張り出して長くとどまり、北海道や東北地方にやませと呼ばれる冷たい北東の風が吹き込む。,が		2.56503	5173	272	116	612	19	26105	152	2.56503	5609	935	152	3008	6	26105	152	5851	975	214	3059	6	26043	214	0			0			12	26043	26257	432.89	95.15			7	さらに、高い湿度が局地的に積乱雲を発生させ、雷を伴い激しく雨が降る夕立が起こりやすい。	Sentence	1	0	0	0		5173	0	0
Recording1	testk	Version1	Instructions_V1 (1)	1	Instructions_V1 (1)		夏の強い日射で暖まった地上付近の湿った空気が強い上昇気流で上昇し雲となり、上空まで達する積乱雲を作るのである。	Tag8	87598	84868	Escape	8144	240	94	638	34	0	296	一方、日本に暑い夏をもたらす気圧配置は年によっては崩れ、太平洋高気圧の勢力が弱いと、オホーツク海高気圧が北から張り出して長くとどまり、北海道や東北地方にやませと呼ばれる冷たい北東の風が吹き込む。,が		2.55541	7848	238	94	638	33	320	126	2.548	9073	3024	446	4889	3	0	446	9179	3060	446	4932	3	0	446	0			0			29	37175	446	385.4	195.76			8	夏の強い日射で暖まった地上付近の湿った空気が強い上昇気流で上昇し雲となり、上空まで達する積乱雲を作るのである。	Sentence	1	296	422	8144	1	8144	38795	38373
Recording1	testk	Version1	Instructions_V1 (1)	1	Instructions_V1 (1)		このような夏の典型的な気圧配置を南高北低型という。	Tag9	87598	84868	Escape	4314	332	107	1269	13	46739	150	一方、日本に暑い夏をもたらす気圧配置は年によっては崩れ、太平洋高気圧の勢力が弱いと、オホーツク海高気圧が北から張り出して長くとどまり、北海道や東北地方にやませと呼ばれる冷たい北東の風が吹き込む。,が		2.49111	4314	332	107	1269	13	46739	150	2.49111	4699	2350	800	3899	2	46739	3899	4789	2395	836	3953	2	46685	3953	0			0			10	46685	50638	369.33	384.49			9	このような夏の典型的な気圧配置を南高北低型という。	Sentence	1	150	3514	3514	0	4314	3514	0
Recording1	testk	Version1	Instructions_V1 (1)	1	Instructions_V1 (1)		高気圧が東シナ海や朝鮮半島にまで張り出し膨らんだ形になったり、副次的な高気圧ができたりすると、ほぼ無風になり、高気圧の勢力が強いので天気もしばらく崩れず、西日本を中心に猛暑が続くが、このような気圧配置を等圧線の形から鯨の尾型という。	Tag10	87598	84868	Escape	21961	289	90	1552	76	50707	156	一方、日本に暑い夏をもたらす気圧配置は年によっては崩れ、太平洋高気圧の勢力が弱いと、オホーツク海高気圧が北から張り出して長くとどまり、北海道や東北地方にやませと呼ばれる冷たい北東の風が吹き込む。,が		2.60914	21961	289	90	1552	76	50707	156	2.60914	24231	6058	1552	13474	4	50707	4597	24444	6111	1582	13518	4	50638	4666	0			0			66	50638	55304	384.49	61.42			10	高気圧が東シナ海や朝鮮半島にまで張り出し膨らんだ形になったり、副次的な高気圧ができたりすると、ほぼ無風になり、高気圧の勢力が強いので天気もしばらく崩れず、西日本を中心に猛暑が続くが、このような気圧配置を等圧線の形から鯨の尾型という。	Sentence	2	156	20409	20409	0	21961	20409	0
Recording1	testk	Version1	Instructions_V1 (1)	1	Instructions_V1 (1)		風が弱く日射が強ければ、昼間は海風、夜間は陸風という海陸風がはっきりと現れる地域が多い。	Tag11	87598	84868	Escape	1011	168	96	192	6	74011	180	一方、日本に暑い夏をもたらす気圧配置は年によっては崩れ、太平洋高気圧の勢力が弱いと、オホーツク海高気圧が北から張り出して長くとどまり、北海道や東北地方にやませと呼ばれる冷たい北東の風が吹き込む。,が		2.53409	1011	168	96	192	6	74011	180	2.53409	1142	1142	1142	1142	1	74011	1142	1197	1197	1197	1197	1	73956	1197	0			0			5	73956	75153	356.32	323.13			11	風が弱く日射が強ければ、昼間は海風、夜間は陸風という海陸風がはっきりと現れる地域が多い。	Sentence	1	180	1011	1011	0	1011	1011	0
Recording1	testk	Version1	Instructions_V1 (1)	1	Instructions_V1 (1)		8月7日前後の立秋の頃が最も暑くなる。	Tag12	87598	84868	Escape	614	154	63	252	4	75199	165	一方、日本に暑い夏をもたらす気圧配置は年によっては崩れ、太平洋高気圧の勢力が弱いと、オホーツク海高気圧が北から張り出して長くとどまり、北海道や東北地方にやませと呼ばれる冷たい北東の風が吹き込む。,が		2.43662	614	154	63	252	4	75199	165	2.43662	678	678	678	678	1	75199	678	724	724	724	724	1	75153	724	0			0			3	75153	75877	323.13	385.81			12	8月7日前後の立秋の頃が最も暑くなる。	Sentence	1	165	614	614	0	614	614	0
Recording1	testk	Version1	Instructions_V1 (1)	1	Instructions_V1 (1)		一方、日本に暑い夏をもたらす気圧配置は年によっては崩れ、太平洋高気圧の勢力が弱いと、オホーツク海高気圧が北から張り出して長くとどまり、北海道や東北地方にやませと呼ばれる冷たい北東の風が吹き込む。	Tag13	87598	84868	Escape	2149	179	149	213	12	75938	187	一方、日本に暑い夏をもたらす気圧配置は年によっては崩れ、太平洋高気圧の勢力が弱いと、オホーツク海高気圧が北から張り出して長くとどまり、北海道や東北地方にやませと呼ばれる冷たい北東の風が吹き込む。,が		2.55154	2149	179	149	213	12	75938	187	2.55154	2405	802	213	1600	3	75938	1600	2536	845	227	1661	3	75877	1661	0			0			9	75877	77538	385.81	126.08			13	一方、日本に暑い夏をもたらす気圧配置は年によっては崩れ、太平洋高気圧の勢力が弱いと、オホーツク海高気圧が北から張り出して長くとどまり、北海道や東北地方にやませと呼ばれる冷たい北東の風が吹き込む。	Sentence	2	187	1937	1937	0	2149	1937	0
Recording1	testk	Version1	Instructions_V1 (1)	1	Instructions_V1 (1)		そのような年には梅雨前線の北上が進まず、低温や日照不足により冷害が発生する。	Tag14	87598	84868	Escape	347	173	145	202	2	78913	202	一方、日本に暑い夏をもたらす気圧配置は年によっては崩れ、太平洋高気圧の勢力が弱いと、オホーツク海高気圧が北から張り出して長くとどまり、北海道や東北地方にやませと呼ばれる冷たい北東の風が吹き込む。,が		2.52914	347	173	145	202	2	78913	202	2.52914	347	173	145	202	2	78913	202	394	197	168	226	2	78889	226	0			0			0	78889	79115	118.48	240.49			14	そのような年には梅雨前線の北上が進まず、低温や日照不足により冷害が発生する。	Sentence	1	202	347	347	0	347	347	0
